Nom du monument,Latitude,Longitude,Type de monument,Voisins
Fontaine,43.5998154433905,1.44913142961622,Fontaine,"[(64, 0.0673), (1, 0.124), (100, 0.2779), (76, 0.0595), (84, 0.1098), (117, 0.1035)]"
Fontaine de la Poésie romane,43.612296568931555,1.4455511358094566,Fontaine,"[(39, 1.4297), (42, 0.4773), (43, 0.6636), (109, 0.2295), (49, 0.5691), (149, 0.5218), (31, 0.9914)]"
Fontaine de la Trinité,43.5997259181259,1.44407677890591,Fontaine,"[(96, 0.1818), (37, 0.0399), (41, 0.1961), (139, 0.0379), (46, 0.122), (48, 0.0205)]"
Gare de Toulouse-Matabiau,43.6111910017326,1.45372725252829,Gare,"[(40, 0.3997), (109, 0.4579), (54, 0.5911), (47, 0.459)]"
Ancienne maison de Calas,43.5993674742902,1.44409625408869,Habitation historique,"[(35, 0.0399), (46, 0.0847), (48, 0.0444), (53, 0.1089), (158, 0.2243)]"
Castelet de Croix-Daurade,43.6382831857152,1.46430671708556,Habitation historique,"[(128, 5.5074), (39, 2.78), (108, 3.26), (47, 2.7045), (148, 2.8848), (123, 6.9156)]"
Demeure 18e siècle,43.6234050529908,1.43660989688172,Habitation historique,"[(128, 2.9094), (34, 1.4297), (38, 2.78), (109, 1.5348), (47, 1.928), (31, 0.5989), (127, 2.0098)]"
Immeuble des Cariatides,43.6080274026762,1.45137102881738,Habitation historique,"[(100, 0.7), (36, 0.3997), (43, 0.4747), (109, 0.558), (110, 0.8817), (54, 0.5464), (124, 0.4592)]"
Immeuble dit Maison romano-gothique,43.5995223386626,1.44648968583272,Habitation historique,"[(96, 0.0828), (97, 0.108), (35, 0.1961), (139, 0.2045), (86, 0.043), (23, 0.1518), (90, 0.0269)]"
Immeuble dit anciens greniers du Chapitre Saint-Sernin ou ancien dortoir,43.609133613538,1.44155049337999,Habitation historique,"[(34, 0.4773), (49, 0.5328), (145, 0.1489), (149, 0.2332), (157, 0.091), (63, 0.1284)]"
"Immeuble dit de ""La Dépêche du Midi""",43.6063316119852,1.44597456338043,Habitation historique,"[(34, 0.6636), (71, 0.3036), (40, 0.4747), (109, 0.7177), (124, 0.1845), (149, 0.2407), (155, 0.2493), (60, 0.2498)]"
Immeuble dit de Seube,43.5925287144043,1.44249754836438,Habitation historique,"[(32, 0.3068), (130, 0.7853), (132, 0.8206), (7, 0.1989), (10, 0.1288), (152, 0.661), (29, 0.3907), (159, 0.9947)]"
Maison,43.6014777840383,1.44370627039653,Habitation historique,"[(99, 0.0751), (70, 0.0743), (80, 0.0563), (21, 0.0205), (87, 0.0764)]"
Maison,43.5986896519834,1.44457752841691,Habitation historique,"[(96, 0.1162), (35, 0.122), (37, 0.0847), (79, 0.1918), (93, 0.1993), (158, 0.1966)]"
Maison,43.6145078681162,1.45711661359236,Habitation historique,"[(36, 0.459), (38, 2.7045), (39, 1.928), (109, 0.7385), (113, 0.5421), (148, 0.5042), (54, 0.8547)]"
Maison Empire,43.5997142659531,1.44382357508054,Habitation historique,"[(35, 0.0205), (37, 0.0444), (139, 0.044), (53, 0.0735), (87, 0.1208)]"
Maison des Verrières ou Castel-Gesta,43.6134530820847,1.43868310979744,Habitation historique,"[(34, 0.5691), (42, 0.5328), (18, 0.5795), (31, 0.5481), (63, 0.6055)]"
Maison dite de Pierre Delfau,43.6009935391735,1.44241960583222,Habitation historique,"[(65, 0.0556), (137, 0.0376), (88, 0.0817), (94, 0.0356)]"
Maison dite de la Belle-Paule,43.5952315149325,1.44560359917783,Habitation historique,"[(160, 0.1354), (5, 0.1105), (133, 0.0847), (118, 0.147), (26, 0.1155)]"
Maison du 17e siècle,43.5966622586475,1.44880114681632,Habitation historique,"[(103, 0.1374), (78, 0.0897), (30, 0.3239), (91, 0.1455), (62, 0.1516)]"
Maison en terre cuite de Virebent,43.5998692856217,1.44293834245986,Habitation historique,"[(65, 0.1071), (37, 0.1089), (101, 0.107), (73, 0.1021), (48, 0.0735), (85, 0.209), (87, 0.1167), (88, 0.0902), (158, 0.2456)]"
Maison en terre cuite de Virebent,43.6068385833213,1.45793841650737,Habitation historique,"[(36, 0.5911), (40, 0.5464), (106, 0.1561), (110, 0.8859), (47, 0.8547), (113, 0.5961), (116, 0.772)]"
Pavillon Mazar,43.6021630836633,1.44172826957626,Habitation historique,"[(66, 0.1327), (69, 0.0806), (137, 0.1103), (74, 0.1195), (138, 0.1771), (80, 0.122), (94, 0.1517)]"
Propriété La Redorte,43.5498024747021,1.46221854450597,Habitation historique,"[(13, 1.0452), (11, 5.7261), (141, 3.3915), (119, 0.209)]"
Villa Gabès,43.5846004390876,1.44809507157091,Habitation historique,"[(3, 0.4623), (132, 0.1752), (112, 0.8757), (114, 1.0529), (120, 1.0314), (28, 2.2669), (159, 0.3617)]"
immeuble situé 2 square Boulingrin,43.596790351379006,1.4530817192099006,Habitation historique,"[(67, 0.2051), (8, 0.4481), (91, 0.2196), (110, 0.3777), (17, 0.2011), (116, 0.4606), (59, 0.0251)]"
maison Guignard,43.59663798549293,1.4533114682030006,Habitation historique,"[(8, 0.4333), (112, 0.56), (114, 0.9488), (116, 0.4621), (58, 0.0251)]"
Hôtel de ville appelé Le Capitole,43.6044703168776,1.44423795256864,Hôtel de Ville,"[(4, 0.2087), (71, 0.1946), (136, 0.0989), (43, 0.2498), (150, 0.2143), (155, 0.161)]"
Hôtel du Grand Balcon,43.6049349250453,1.44233724192205,Hôtel de voyageurs,"[(136, 0.159), (138, 0.1426), (155, 0.0959), (151, 0.0778)]"
Ancien hôtel Arquata,43.5979993844346,1.44842742343136,Hôtel particulier,"[(103, 0.1311), (76, 0.1687), (78, 0.1924), (81, 0.0917), (52, 0.1516), (117, 0.1801)]"
Ancien hôtel Jean du Barry,43.6081901382305,1.44063126901335,Hôtel particulier,"[(129, 0.4417), (42, 0.1284), (145, 0.0563), (49, 0.6055), (18, 0.4543), (146, 0.189)]"
Ancien hôtel de Bonfontan,43.5997114776359,1.44831048815419,Hôtel particulier,"[(33, 0.0673), (76, 0.0275), (81, 0.227), (84, 0.0533), (90, 0.122)]"
Ancien hôtel de Boysson,43.60082829698031,1.4430701063677402,Hôtel particulier,"[(101, 0.0001), (70, 0.0145), (137, 0.0738), (50, 0.0556), (53, 0.1071), (88, 0.1025)]"
Ancien hôtel de Gayssion,43.6015433669708,1.44032335790279,Hôtel particulier,"[(69, 0.1481), (140, 0.3263), (147, 0.1944), (55, 0.1327), (94, 0.1611), (89, 0.1631), (154, 0.0774), (25, 0.2585)]"
Ancien hôtel de Lestang,43.5977495469755,1.4509116286576402,Hôtel particulier,"[(103, 0.0804), (17, 0.0472), (117, 0.1706), (58, 0.2051), (91, 0.0701)]"
"Ancien hôtel du Capitoul Pierre-Dahus, dit Hôtel Roquette ou Tour Tournoer",43.5972431937247,1.44645886474166,Hôtel particulier,"[(98, 0.0496), (5, 0.1242), (72, 0.0375), (77, 0.0092), (78, 0.1476), (93, 0.0444)]"
Hôtel Bernuy,43.602741660933,1.44112625723354,Hôtel particulier,"[(138, 0.1502), (147, 0.0651), (66, 0.1481), (55, 0.0806)]"
Hôtel Boysson,43.600921460192,1.44319627594996,Hôtel particulier,"[(65, 0.0145), (101, 0.0145), (137, 0.074), (45, 0.0743), (80, 0.0949), (87, 0.0378)]"
Hôtel Caulet-Resseguier (ou hôtel Duranti),43.6036114664902,1.44633881255754,Hôtel particulier,"[(4, 0.0397), (43, 0.3036), (60, 0.1946), (27, 0.0486), (124, 0.1824)]"
Hôtel Courtois de Viçoze dit aussi hôtel d'Espie,43.5974282371475,1.44684702772805,Hôtel particulier,"[(97, 0.132), (68, 0.0375), (77, 0.0357), (78, 0.1436), (81, 0.0564)]"
Hôtel Dassier,43.5995632764119,1.44174616846946,Hôtel particulier,"[(88, 0.0868), (89, 0.1062), (85, 0.1638), (53, 0.1021)]"
Hôtel Dumay,43.6023604386304,1.44318366404997,Hôtel particulier,"[(136, 0.1584), (138, 0.1544), (80, 0.0652), (21, 0.0886), (150, 0.0793), (55, 0.1195)]"
Hôtel Felzins,43.5966195994757,1.44261831685038,Hôtel particulier,"[(79, 0.1157), (83, 0.0754), (92, 0.0829), (29, 0.076), (95, 0.0472)]"
Hôtel Jean Catel,43.5995165367073,1.44851964253177,Hôtel particulier,"[(64, 0.0275), (33, 0.0595), (81, 0.2139), (117, 0.1277), (62, 0.1687)]"
Hôtel Magnier et Jean-Burnet,43.5973228953164,1.44642918022736,Hôtel particulier,"[(72, 0.0357), (97, 0.1373), (68, 0.0092), (93, 0.0443)]"
Hôtel Mansencal,43.5963310610324,1.44778741803356,Hôtel particulier,"[(68, 0.1476), (5, 0.1367), (72, 0.1436), (81, 0.1671), (52, 0.0897), (22, 0.2024), (30, 0.3031), (62, 0.1924)]"
Hôtel Marvéjol,43.5970275853742,1.4439361667733,Hôtel particulier,"[(75, 0.1157), (46, 0.1918), (82, 0.1046), (83, 0.1085), (20, 0.1684), (26, 0.1464), (92, 0.0979), (93, 0.1608), (158, 0.1307)]"
Hôtel Pierre Comère,43.6017742663521,1.44314084621787,Hôtel particulier,"[(70, 0.0949), (137, 0.0732), (74, 0.0652), (45, 0.0563), (21, 0.0479), (55, 0.122)]"
Hôtel Reynier,43.5977974775434,1.44732616384279,Hôtel particulier,"[(64, 0.227), (97, 0.1163), (72, 0.0564), (76, 0.2139), (78, 0.1671), (90, 0.2037), (62, 0.0917)]"
Hôtel Réquy,43.5961109997058,1.44364086228421,Hôtel particulier,"[(32, 0.1269), (133, 0.13), (79, 0.1046), (26, 0.0709), (92, 0.0173)]"
Hôtel Saint-Jean,43.5972978754866,1.44264528797132,Hôtel particulier,"[(104, 0.049), (75, 0.0754), (79, 0.1085), (158, 0.0421), (95, 0.0509)]"
Hôtel Thomas ou Thomas de Montval,43.6000150279443,1.44779920699522,Hôtel particulier,"[(64, 0.0533), (33, 0.1098), (100, 0.2436), (86, 0.0963), (23, 0.1527), (90, 0.0928)]"
Hôtel d'Alliès,43.59810483427,1.4420422910563,Hôtel particulier,"[(104, 0.084), (73, 0.1638), (53, 0.209), (89, 0.248), (158, 0.0648), (126, 0.2726)]"
Hôtel d'Andrieu de Montcalvel dit aussi hôtel de Castellane ou hôtel de Campaigno ou hôtel de Saint-Jory,43.59989783294001,1.4466170822912,Hôtel particulier,"[(41, 0.043), (90, 0.0374), (84, 0.0963), (23, 0.112)]"
Hôtel d'Arnaud de Brucelles,43.6007921666649,1.44362957092576,Hôtel particulier,"[(99, 0.0409), (101, 0.0453), (70, 0.0378), (139, 0.0881), (45, 0.0764), (48, 0.1208), (53, 0.1167)]"
Hôtel d'Assézat et de Clémence Isaure,43.600320763094,1.44201041320845,Hôtel particulier,"[(65, 0.1025), (73, 0.0868), (50, 0.0817), (53, 0.0902), (89, 0.1125), (94, 0.0553)]"
Hôtel d'Olmières,43.6000951354872,1.44065273509826,Hôtel particulier,"[(66, 0.1631), (73, 0.1062), (85, 0.248), (88, 0.1125), (94, 0.1386), (154, 0.1136), (126, 0.1486)]"
Hôtel de Bonnefoy,43.5995916212891,1.44680843373253,Hôtel particulier,"[(64, 0.122), (97, 0.1212), (41, 0.0269), (81, 0.2037), (84, 0.0928), (86, 0.0374)]"
Hôtel de Castagnier d'Auriac,43.5972253177592,1.4504284411321,Hôtel particulier,"[(67, 0.0701), (103, 0.0554), (8, 0.5242), (52, 0.1455), (58, 0.2196), (30, 0.4026)]"
Hôtel de Claude de Saint-Félix,43.5962121047596,1.44347819268814,Hôtel particulier,"[(32, 0.127), (75, 0.0829), (79, 0.0979), (82, 0.0173), (29, 0.1107)]"
Hôtel de Lasbordes ou du Vieux-Raisin,43.5971827111102,1.44591548337188,Hôtel particulier,"[(96, 0.1876), (97, 0.1564), (98, 0.0324), (68, 0.0444), (77, 0.0443), (46, 0.1993), (79, 0.1608), (20, 0.06)]"
Hôtel de Nupces,43.60081771994691,1.44205130090103,Hôtel particulier,"[(66, 0.1611), (137, 0.0663), (50, 0.0356), (55, 0.1517), (88, 0.0553), (89, 0.1386)]"
"Hôtel de Pierre, dit aussi hôtel Jean de Bagis",43.5969448318288,1.44224263359712,Hôtel particulier,"[(104, 0.0477), (83, 0.0509), (75, 0.0472), (29, 0.1015)]"
Hôtel de Pins et hôtel Antonin,43.5988699646737,1.44599506685825,Hôtel particulier,"[(97, 0.0443), (35, 0.1818), (41, 0.0828), (46, 0.1162), (93, 0.1876)]"
Hôtel de Puivert ou Puyvert,43.5985568262298,1.44633434378563,Hôtel particulier,"[(96, 0.0443), (72, 0.132), (41, 0.108), (77, 0.1373), (81, 0.1163), (90, 0.1212), (93, 0.1564)]"
Hôtel de Puymaurin,43.5969083728242,1.44605204190092,Hôtel particulier,"[(93, 0.0324), (20, 0.0305), (5, 0.0839), (68, 0.0496)]"
Hôtel de Saint-Germain,43.60087356289241,1.44412407147765,Hôtel particulier,"[(102, 0.227), (139, 0.0897), (45, 0.0751), (21, 0.0937), (150, 0.1854), (23, 0.1785), (87, 0.0409)]"
Hôtel de la Fage,43.6021981887182,1.44808280489433,Hôtel particulier,"[(33, 0.2779), (1, 0.3306), (102, 0.1384), (40, 0.7), (110, 0.396), (84, 0.2436), (23, 0.203), (27, 0.1653), (124, 0.3212)]"
Hôtel dit de Cheverry,43.6008278402821,1.44307071415026,Hôtel particulier,"[(65, 0.0001), (53, 0.107), (70, 0.0145), (87, 0.0453)]"
"Hôtel dit de Guillaume de Bernuy, ou hôtel Buet",43.6020985346981,1.44637426750157,Hôtel particulier,"[(99, 0.227), (100, 0.1384), (4, 0.1301), (150, 0.1876), (23, 0.1349), (27, 0.1488)]"
Hôtel dit de Jean de Ulmo,43.5975785743761,1.4499443592672,Hôtel particulier,"[(67, 0.0804), (52, 0.1374), (117, 0.1735), (91, 0.0554), (62, 0.1311)]"
Hôtel dit de la Mammye,43.5973491484196,1.4420423498053,Hôtel particulier,"[(83, 0.049), (85, 0.084), (126, 0.3232), (29, 0.1461), (158, 0.0567), (95, 0.0477)]"
Hôtel-Dieu,43.599723875208,1.43684692245587,Hôtel-Dieu,"[(12, 0.1149), (140, 0.432), (115, 0.5315), (153, 0.5182), (154, 0.2775), (156, 0.2206), (126, 0.1891)]"
Entrée du cimetière de Terre-Cabade,43.60690985884488,1.4598692495185344,Monument / Mémorial,"[(108, 0.5503), (111, 0.5254), (113, 0.5163), (116, 0.8133), (54, 0.1561)]"
Monument au sport et à Maysonnié,43.607817456815496,1.4279432749359786,Monument / Mémorial,"[(18, 0.5908), (121, 0.3681), (122, 0.2407), (31, 1.313), (127, 0.8178)]"
Monument aux morts de la guerre 1914-1918 de Philippeville (actuellement Skikda en Algérie),43.60896983713873,1.466068300850516,Monument / Mémorial,"[(38, 3.26), (106, 0.5503), (111, 0.1265), (114, 2.2476), (148, 0.4678), (116, 1.252), (123, 3.6887)]"
"Monument aux morts de la guerre de 1914-1918 des quartiers Bayard, Matabiau, Concorde et Chalets",43.6125521385452,1.4483727297435132,Monument / Mémorial,"[(34, 0.2295), (36, 0.4579), (39, 1.5348), (40, 0.558), (43, 0.7177), (47, 0.7385)]"
"Monument aux morts de la guerre de 1914-1918, à la gloire des combattants de la Haute-Garonne",43.600107457062414,1.4520555912456312,Monument / Mémorial,"[(1, 0.115), (100, 0.396), (6, 0.1249), (40, 0.8817), (17, 0.2352), (116, 0.3828), (54, 0.8859), (58, 0.3777)]"
Monument funéraire d'Aristide et Marie Bergès,43.60980919700156,1.4650104758778384,Monument / Mémorial,"[(108, 0.1265), (113, 0.2831), (106, 0.5254), (148, 0.3422)]"
Monument à la gloire de la Résistance,43.591600525996704,1.45307718115795,Monument / Mémorial,"[(132, 0.7526), (8, 0.1364), (114, 0.5689), (57, 0.8757), (59, 0.56), (30, 0.4062)]"
Obélisque du 10 Avril 1814,43.6112577941621,1.46212504463092,Monument / Mémorial,"[(106, 0.5163), (47, 0.5421), (111, 0.2831), (148, 0.1273), (54, 0.5961)]"
Bassin de radoub,43.5893308536801,1.45939200457247,Ouvrage hydraulique,"[(59, 0.9488), (108, 2.2476), (112, 0.5689), (116, 1.1973), (120, 0.6378), (57, 1.0529), (123, 1.9899)]"
Ecluse double Saint-Pierre sur le Canal de Brienne,43.6041267877243,1.43427263832736,Ouvrage hydraulique,"[(153, 0.1118), (105, 0.5315), (142, 0.3844), (18, 0.5383), (121, 0.3045), (156, 0.5491)]"
Ensemble du Port Saint-Etienne,43.59994001740551,1.45679053266536,Ouvrage hydraulique,"[(106, 0.8133), (108, 1.252), (110, 0.3828), (114, 1.1973), (54, 0.772), (58, 0.4606), (59, 0.4621)]"
Ancien palais archiépiscopal,43.59913948622981,1.45001335701579,Palais,"[(1, 0.0984), (33, 0.1035), (67, 0.1706), (6, 0.0722), (103, 0.1735), (76, 0.1277), (17, 0.159), (62, 0.1801)]"
Palais de Justice,43.5939086142992,1.44557171166882,Palais,"[(160, 0.1248), (132, 0.8791), (133, 0.1603), (7, 0.1429), (10, 0.1636), (51, 0.147), (30, 0.2781)]"
Belvédère,43.5513713628728,1.46364572896485,Parc / Jardin,"[(56, 0.209), (123, 3.0116), (28, 1.7474), (13, 0.9294)]"
Serres municipales,43.5836826895725,1.4608029081382001,Parc / Jardin,"[(57, 1.0314), (114, 0.6378), (123, 1.5117), (28, 1.85)]"
Manufacture des Tabacs,43.6052564731941,1.43083640358276,Patrimoine industriel,"[(135, 0.4923), (9, 0.5244), (107, 0.3681), (142, 0.4936), (18, 0.5342), (115, 0.3045), (122, 0.3774)]"
Moulin des Amidonniers,43.6060190160979,1.42628093520425,Patrimoine industriel,"[(135, 0.6269), (107, 0.2407), (14, 2.9764), (121, 0.3774), (127, 0.8128)]"
Usine aéronautique Latécoère de Montaudran,43.5767126326296,1.4768765415342102,Patrimoine industriel,"[(38, 6.9156), (108, 3.6887), (114, 1.9899), (119, 3.0116), (120, 1.5117), (28, 1.5814)]"
Place Wilson,43.6050498942597,1.4474267428858,Place,"[(100, 0.3212), (71, 0.1824), (40, 0.4592), (43, 0.1845), (27, 0.19)]"
Pont sur le Touch,43.60854202289091,1.38499727017538,Pont,"[(128, 1.8074), (11, 7.2292), (14, 2.7258), (15, 4.1496), (16, 3.5834), (144, 1.2409)]"
Pont-Neuf qui assure à la R.D. 124 le franchissement de la Garonne,43.5993446113485,1.43912950189092,Pont,"[(104, 0.3232), (105, 0.1891), (12, 0.1918), (85, 0.2726), (89, 0.1486), (154, 0.1862), (29, 0.4403)]"
Ponts jumeaux enjambant le canal du Midi et le canal de Brienne,43.6108359407094,1.41870400250543,Pont,"[(128, 1.7646), (39, 2.0098), (107, 0.8178), (14, 3.0447), (144, 1.7516), (122, 0.8128), (31, 1.6181)]"
Village néolithique,43.6200172881384,1.40086669443898,Site archéologique,"[(38, 5.5074), (39, 2.9094), (144, 0.6311), (125, 1.8074), (127, 1.7646)]"
Ancien séminaire,43.6048414253484,1.43768291988726,Séminaire,"[(0, 0.1154), (140, 0.1407), (18, 0.5004), (146, 0.3131), (24, 0.2636), (25, 0.2122), (63, 0.4417)]"
Grand Séminaire,43.5965541901221,1.43450355868726,Séminaire,"[(134, 0.286), (9, 0.5259), (44, 0.7853), (12, 0.3079), (152, 0.9731), (156, 0.2931), (29, 0.6184)]"
Petit Séminaire (ou Hôtel d'Hautpoul),43.6068604710022,1.44147179649254,Séminaire,"[(145, 0.1114), (146, 0.0662), (19, 0.0758), (151, 0.1821), (155, 0.1865)]"
Ancienne prison Saint-Michel,43.5861317423738,1.44757765495965,Édifice administratif / militaire,"[(10, 0.8438), (44, 0.8206), (112, 0.7526), (118, 0.8791), (57, 0.1752), (30, 0.8544), (159, 0.4116)]"
"Ancienne trésorerie royale, actuellement temple protestant du Salin",43.5951502608638,1.44456080789976,Édifice administratif / militaire,"[(32, 0.1631), (7, 0.1372), (82, 0.13), (51, 0.0847), (118, 0.1603), (26, 0.0682)]"
Caserne de pompiers Jacques Vion,43.59426344743862,1.4328870088103272,Édifice administratif / militaire,"[(130, 0.286), (135, 0.7855), (9, 0.7138), (14, 2.7352), (143, 1.0089), (152, 0.7758)]"
Anciens abattoirs,43.6009177300179,1.42959932966309,Édifice commercial,"[(134, 0.7855), (9, 0.1196), (14, 2.8181), (121, 0.4923), (122, 0.6269)]"
Café Bibent,43.6037699919105,1.44348138722811,Édifice commercial,"[(138, 0.0806), (74, 0.1584), (150, 0.1462), (155, 0.2096), (60, 0.0989), (61, 0.159)]"
Hôtel de la Bourse,43.6013298819428,1.44247169406123,Édifice commercial,"[(65, 0.0738), (70, 0.074), (80, 0.0732), (50, 0.0376), (55, 0.1103), (94, 0.0663)]"
Librairie Modern Style,43.603656719451,1.44249501233283,Édifice commercial,"[(69, 0.1502), (136, 0.0806), (74, 0.1544), (147, 0.1467), (55, 0.1771), (151, 0.193), (61, 0.1426)]"
Magasin Perry,43.60006689032463,1.4440707316172028,Édifice commercial,"[(35, 0.0379), (99, 0.0897), (41, 0.2045), (48, 0.044), (23, 0.2042), (87, 0.0881)]"
Ancien hôpital Larrey,43.603589405067,1.43742399712895,Édifice de santé / loisirs,"[(0, 0.1544), (129, 0.1407), (66, 0.3263), (105, 0.432), (153, 0.1648), (154, 0.354), (25, 0.2046)]"
Centre hospitalier spécialisé Gérard Marchant,43.5596424259132,1.42248715596711,Édifice de santé / loisirs,"[(3, 3.004), (11, 3.0451), (13, 2.8896), (14, 3.4958), (143, 3.1165), (16, 2.8061), (15, 2.4052), (56, 3.3915)]"
